sample	samples	TP53 (average)
TCGA-DK-A6B1-01	TCGA-DK-A6B1-01	0.2554
TCGA-50-5935-01	TCGA-50-5935-01	0.2543
TCGA-L5-A88Z-01	TCGA-L5-A88Z-01	0.2538
TCGA-2G-AAGI-01	TCGA-2G-AAGI-01	0.2537
TCGA-BP-4177-01	TCGA-BP-4177-01	0.2531
TCGA-55-7907-01	TCGA-55-7907-01	0.2526
TCGA-FG-7634-01	TCGA-FG-7634-01	0.2522
TCGA-16-0850-01	TCGA-16-0850-01	0.2521
TCGA-CF-A8HY-01	TCGA-CF-A8HY-01	0.2518
TCGA-2G-AALX-01	TCGA-2G-AALX-01	0.2517
TCGA-VS-A9UL-01	TCGA-VS-A9UL-01	0.251
TCGA-XF-AAML-01	TCGA-XF-AAML-01	0.2509
TCGA-A2-A259-01	TCGA-A2-A259-01	0.2508
TCGA-56-7730-01	TCGA-56-7730-01	0.2501
TCGA-DX-A1KW-01	TCGA-DX-A1KW-01	0.25
TCGA-KD-A5QU-01	TCGA-KD-A5QU-01	0.24939999999999998
TCGA-GD-A3OS-01	TCGA-GD-A3OS-01	0.2493
TCGA-AO-A12E-01	TCGA-AO-A12E-01	0.2488
TCGA-CV-6941-01	TCGA-CV-6941-01	0.2488
TCGA-2G-AAGA-01	TCGA-2G-AAGA-01	0.2487
TCGA-EQ-5647-01	TCGA-EQ-5647-01	0.2479
TCGA-A4-A5Y1-01	TCGA-A4-A5Y1-01	0.2475
TCGA-EO-A3B1-01	TCGA-EO-A3B1-01	0.24729999999999996
TCGA-24-2023-01	TCGA-24-2023-01	0.2463
TCGA-LN-A49O-01	TCGA-LN-A49O-01	0.2441
TCGA-VQ-A94R-01	TCGA-VQ-A94R-01	0.24260000000000004
TCGA-J7-8537-01	TCGA-J7-8537-01	0.2424
TCGA-ZF-AA4X-01	TCGA-ZF-AA4X-01	0.2423
TCGA-14-0865-01	TCGA-14-0865-01	0.2422
TCGA-BQ-7062-01	TCGA-BQ-7062-01	0.2411
TCGA-D7-8573-01	TCGA-D7-8573-01	0.2409
TCGA-OL-A66K-01	TCGA-OL-A66K-01	0.24030000000000004
TCGA-24-2024-01	TCGA-24-2024-01	0.24
TCGA-78-7155-01	TCGA-78-7155-01	0.2399
TCGA-06-0151-01	TCGA-06-0151-01	0.2396
TCGA-V4-A9EO-01	TCGA-V4-A9EO-01	0.2384
TCGA-3A-A9IO-01	TCGA-3A-A9IO-01	0.2377
TCGA-B0-5084-01	TCGA-B0-5084-01	0.23609999999999998
TCGA-A5-A0R7-01	TCGA-A5-A0R7-01	0.236
TCGA-CR-6467-01	TCGA-CR-6467-01	0.2351
TCGA-3U-A98F-01	TCGA-3U-A98F-01	0.23500000000000001
TCGA-BR-A4QI-01	TCGA-BR-A4QI-01	0.2342
TCGA-24-0968-01	TCGA-24-0968-01	0.2341
TCGA-BC-A10Q-01	TCGA-BC-A10Q-01	0.23389999999999997
TCGA-09-2051-01	TCGA-09-2051-01	0.2337
TCGA-76-4929-01	TCGA-76-4929-01	0.2336
TCGA-61-2087-01	TCGA-61-2087-01	0.2333
TCGA-2F-A9KP-01	TCGA-2F-A9KP-01	0.2332
TCGA-B5-A11P-01	TCGA-B5-A11P-01	0.233
TCGA-D9-A6EC-06	TCGA-D9-A6EC-06	0.2318
TCGA-04-1654-01	TCGA-04-1654-01	0.23149999999999998
TCGA-R6-A6DN-01	TCGA-R6-A6DN-01	0.2307
TCGA-DB-5279-01	TCGA-DB-5279-01	0.2305
TCGA-02-2466-01	TCGA-02-2466-01	0.2303
TCGA-B0-5102-01	TCGA-B0-5102-01	0.2299
TCGA-2G-AAFI-01	TCGA-2G-AAFI-01	0.2296
TCGA-F9-A4JJ-01	TCGA-F9-A4JJ-01	0.22930000000000003
TCGA-VF-A8AD-01	TCGA-VF-A8AD-01	0.2289
TCGA-FS-A1ZM-06	TCGA-FS-A1ZM-06	0.22829999999999998
TCGA-DA-A1I7-06	TCGA-DA-A1I7-06	0.2279
